id,sex,IQR,Q25,Q75,cent,dfrange,ent,fpeak,kurt,maxdom,maxfun,meandom,meanfr,meanfun,median,mindom,minfun,mode,modindx,sfm,skew,std
6749,0,1.21875,0.28125,1.5,1.161408655027974,6.34375,0.7992793203373393,0.1875,23.582680640669906,6.34375,5.333333333333333,0.3141891891891892,1.161408655027974,1.6830455434200724,0.5625,0.0,0.0784313725490196,0.1875,4.16256157635468,0.3401366012760634,4.320138910617687,1.5061244305217416
1184,1,1.71875,0.21875,1.9375,1.3054936785156879,6.0625,0.796417763977045,0.09375,47.78929407057419,6.0625,5.333333333333333,0.676529255319149,1.3054936785156879,2.2563837357016836,0.46875,0.0,0.07373271889400922,0.09375,8.654639175257731,0.3835722954124572,6.097365379409343,1.6715929865323385
8246,1,0.5,0.21875,0.71875,0.7300177055917829,4.0,0.7078229661980286,0.09375,28.531351457842426,4.0,5.333333333333333,0.23287835249042146,0.7300177055917829,1.7376599211405164,0.375,0.0,0.09195402298850575,0.09375,10.0078125,0.17884654536803749,4.793691621062468,1.0977802061689292
8242,0,3.0625,0.34375,3.40625,2.0745964858377373,7.96875,0.8765208789844833,0.1875,29.99147670777608,7.96875,5.333333333333333,1.080025337837838,2.0745964858377373,1.4347998192210025,0.96875,0.0,0.06274509803921569,0.1875,34.32941176470588,0.6319599286626093,4.997024740368697,2.274446559093893
3564,0,2.21875,0.5,2.71875,1.66086383408906,4.0,0.8402462910700973,0.21875,33.24885666084334,4.0,5.333333333333333,0.5132472826086957,1.66086383408906,0.9160533357620313,0.96875,0.0,0.09523809523809525,0.46875,5.53125,0.28722165010253997,5.035625593363637,1.5433547941616148
3394,0,1.4375,0.625,2.0625,1.529546905236804,2.6875,0.8576402551307236,0.21875,9.387274222918013,2.6875,5.333333333333333,0.6518640350877193,1.529546905236804,0.7015119678308335,1.0625,0.0,0.06722689075630252,0.5625,18.069767441860463,0.3670897081454802,2.4386765930671697,1.3656023459724231
2292,1,0.59375,0.21875,0.8125,0.8099875302760626,7.28125,0.7400197112656498,0.125,15.995801642968534,7.28125,5.333333333333333,0.3903846153846154,0.8099875302760626,2.9403612991040506,0.5,0.0,0.06722689075630252,0.125,16.454935622317596,0.1822155719256062,3.5151053947554693,1.1250735032368508
3896,1,2.875,1.03125,3.90625,2.6046823473857774,7.96875,0.950067820200824,0.28125,3.187314011744046,7.96875,5.333333333333333,1.6508598562628336,2.6046823473857774,1.4082525108206219,2.21875,0.0,0.06324110671936758,0.4375,46.34901960784314,0.7122738706167389,0.8218187614234244,1.9348027523140583
4263,0,1.21875,0.65625,1.875,1.432297063616592,6.09375,0.8134999362351614,0.25,16.96208907001819,6.09375,5.333333333333333,0.7013221153846154,1.432297063616592,0.43776000307380475,1.03125,0.0,0.07305936073059362,0.78125,3.292307692307692,0.21499311203268345,3.547509745179011,1.2291169308162733
6051,1,2.625,0.59375,3.21875,2.1782018786363446,7.90625,0.908682713154671,0.25,11.64981286725642,7.90625,5.333333333333333,1.273040254237288,2.1782018786363446,1.0215302196382436,1.625,0.0,0.06274509803921569,0.375,31.18577075098814,0.6103690242809867,2.6249285829934363,1.9073756713270928
